"person_id","first_name","last_name","primary_number","birth_date","birth_city","birth_state_province","birth_country","nationality","height","weight","active","shoots_catches","current_team_id","primary_position_code","created_at","updated_at"
8480226,"Marian","Studenic","67","1998-10-27 16:00:00-08","Skalica",NULL,"SVK","SVK","6' 1""",181,True,"L",1,"R","2021-10-07 15:30:30.072712-07","2021-10-07 15:30:30.072712-07"
8480883,"Ty","Smith","24","2000-03-23 16:00:00-08","Lloydminster","AB","CAN","CAN","5' 11""",180,True,"L",1,"D","2021-10-07 15:30:30.513832-07","2021-10-07 15:30:30.513832-07"
8481068,"Yegor","Sharangovich","17","1998-06-05 17:00:00-07","Minsk",NULL,"BLR","BLR","6' 2""",196,True,"L",1,"C","2021-10-07 15:30:31.360581-07","2021-10-07 15:30:31.360581-07"
8481537,"Nikita","Okhotiuk","82","2000-12-03 16:00:00-08","Chelyabinsk",NULL,"RUS","RUS","6' 1""",195,True,"L",1,"D","2021-10-07 15:30:31.76888-07","2021-10-07 15:30:31.76888-07"
8481559,"Jack","Hughes","86","2001-05-13 17:00:00-07","Orlando","FL","USA","USA","5' 11""",175,True,"L",1,"C","2021-10-07 15:30:32.64271-07","2021-10-07 15:30:32.64271-07"
8481740,"Tyce","Thompson","12","1999-07-11 17:00:00-07","Calgary","AB","CAN","CAN","6' 1""",175,True,"R",1,"R","2021-10-07 15:30:33.10477-07","2021-10-07 15:30:33.10477-07"
8482110,"Dawson","Mercer","18","2001-10-26 17:00:00-07","Carbonear","NL","CAN","CAN","6' 0""",180,True,"R",1,"C","2021-10-07 15:30:33.471462-07","2021-10-07 15:30:33.471462-07"
8482125,"Alexander","Holtz","10","2002-01-22 16:00:00-08","Stockholm",NULL,"SWE","SWE","6' 0""",195,True,"R",1,"R","2021-10-07 15:30:33.828591-07","2021-10-07 15:30:33.828591-07"
8470187,"Johnny","Boychuk","55","1984-01-18 16:00:00-08","Edmonton","AB","CAN","CAN","6' 2""",227,True,"R",2,"D","2021-10-07 15:30:34.156534-07","2021-10-07 15:30:34.156534-07"
8479356,"Kieffer","Bellows","20","1998-06-09 17:00:00-07","Edina","MN","USA","USA","6' 1""",195,True,"L",2,"L","2021-10-07 15:30:34.666097-07","2021-10-07 15:30:34.666097-07"
8472382,"Andy","Greene","4","1982-10-29 17:00:00-07","Trenton","MI","USA","USA","5' 11""",190,True,"L",2,"D","2021-10-07 15:30:34.989193-07","2021-10-07 15:30:34.989193-07"
8473463,"Leo","Komarov","47","1987-01-22 16:00:00-08","Narva",NULL,"EST","FIN","5' 11""",205,True,"L",2,"R","2021-10-07 15:30:35.316155-07","2021-10-07 15:30:35.316155-07"
8473504,"Cal","Clutterbuck","15","1987-11-17 16:00:00-08","Welland","ON","CAN","CAN","6' 0""",212,True,"R",2,"R","2021-10-07 15:30:35.668258-07","2021-10-07 15:30:35.668258-07"
8474066,"Thomas","Hickey","2","1989-02-07 16:00:00-08","Calgary","AB","CAN","CAN","6' 0""",185,True,"L",2,"D","2021-10-07 15:30:36.144406-07","2021-10-07 15:30:36.144406-07"
8474573,"Josh","Bailey","12","1989-10-01 17:00:00-07","Bowmanville","ON","CAN","CAN","6' 1""",200,True,"L",2,"R","2021-10-07 15:30:36.480722-07","2021-10-07 15:30:36.480722-07"
8474709,"Matt","Martin","17","1989-05-07 17:00:00-07","Windsor","ON","CAN","CAN","6' 3""",220,True,"L",2,"L","2021-10-07 15:30:36.773115-07","2021-10-07 15:30:36.773115-07"
8475151,"Kyle","Palmieri","21","1991-01-31 16:00:00-08","Smithtown","NY","USA","USA","5' 11""",185,True,"R",2,"R","2021-10-07 15:30:37.076279-07","2021-10-07 15:30:37.076279-07"
8475209,"Richard","Panik","16","1991-02-06 16:00:00-08","Martin",NULL,"SVK","SVK","6' 2""",203,True,"L",2,"R","2021-10-07 15:30:37.397932-07","2021-10-07 15:30:37.397932-07"
8475231,"Casey","Cizikas","53","1991-02-26 16:00:00-08","Toronto","ON","CAN","CAN","5' 11""",195,True,"L",2,"C","2021-10-07 15:30:37.767167-07","2021-10-07 15:30:37.767167-07"
8475314,"Anders","Lee","27","1990-07-02 17:00:00-07","Edina","MN","USA","USA","6' 3""",235,True,"L",2,"L","2021-10-07 15:30:38.421214-07","2021-10-07 15:30:38.421214-07"
8475754,"Brock","Nelson","29","1991-10-14 17:00:00-07","Warroad","MN","USA","USA","6' 4""",212,True,"L",2,"C","2021-10-07 15:30:38.710254-07","2021-10-07 15:30:38.710254-07"
8476419,"Jean-Gabriel","Pageau","44","1992-11-10 16:00:00-08","Ottawa","ON","CAN","CAN","5' 11""",180,True,"R",2,"C","2021-10-07 15:30:39.045418-07","2021-10-07 15:30:39.045418-07"
8476429,"Scott","Mayfield","24","1992-10-13 17:00:00-07","St. Louis","MO","USA","USA","6' 5""",220,True,"R",2,"D","2021-10-07 15:30:39.399475-07","2021-10-07 15:30:39.399475-07"
8476917,"Adam","Pelech","3","1994-08-15 17:00:00-07","Toronto","ON","CAN","CAN","6' 3""",205,True,"L",2,"D","2021-10-07 15:30:39.710061-07","2021-10-07 15:30:39.710061-07"
8477506,"Ryan","Pulock","6","1994-10-05 17:00:00-07","Dauphin","MB","CAN","CAN","6' 2""",215,True,"R",2,"D","2021-10-07 15:30:40.0256-07","2021-10-07 15:30:40.0256-07"
8477527,"Ross","Johnston","32","1994-02-17 16:00:00-08","Charlottetown","PE","CAN","CAN","6' 5""",232,True,"L",2,"L","2021-10-07 15:30:40.323753-07","2021-10-07 15:30:40.323753-07"
8478445,"Mathew","Barzal","13","1997-05-25 17:00:00-07","Coquitlam","BC","CAN","CAN","6' 1""",187,True,"R",2,"C","2021-10-07 15:30:40.771248-07","2021-10-07 15:30:40.771248-07"
8478463,"Anthony","Beauvillier","18","1997-06-07 17:00:00-07","Sorel-Tracy","QC","CAN","CAN","5' 11""",180,True,"L",2,"L","2021-10-07 15:30:41.103662-07","2021-10-07 15:30:41.103662-07"
8480071,"Robin","Salo","45","1998-10-12 17:00:00-07","Espoo",NULL,"FIN","FIN","6' 2""",192,True,"L",2,"D","2021-10-07 15:30:41.452987-07","2021-10-07 15:30:41.452987-07"
8480222,"Sebastian","Aho","25","1996-02-16 16:00:00-08","Umea",NULL,"SWE","SWE","5' 11""",184,True,"L",2,"D","2021-10-07 15:30:41.744562-07","2021-10-07 15:30:41.744562-07"
8480789,"Oliver","Wahlstrom","26","2000-06-12 17:00:00-07","Quincy","MA","USA","USA","6' 2""",205,True,"R",2,"R","2021-10-07 15:30:42.080658-07","2021-10-07 15:30:42.080658-07"
8480865,"Noah","Dobson","8","2000-01-06 16:00:00-08","Summerside","PE","CAN","CAN","6' 4""",195,True,"R",2,"D","2021-10-07 15:30:42.642737-07","2021-10-07 15:30:42.642737-07"
8481541,"Samuel","Bolduc","48","2000-12-08 16:00:00-08","Laval","QC","CAN","CAN","6' 4""",220,True,"L",2,"D","2021-10-07 15:30:43.071838-07","2021-10-07 15:30:43.071838-07"
8471817,"Ryan","Reaves","75","1987-01-19 16:00:00-08","Winnipeg","MB","CAN","CAN","6' 2""",225,True,"R",3,"R","2021-10-07 15:30:43.349586-07","2021-10-07 15:30:43.349586-07"
8475184,"Chris","Kreider","20","1991-04-29 17:00:00-07","Boxford","MA","USA","USA","6' 3""",223,True,"L",3,"L","2021-10-07 15:30:43.654166-07","2021-10-07 15:30:43.654166-07"
8475747,"Patrik","Nemeth","12","1992-02-07 16:00:00-08","Stockholm",NULL,"SWE","SWE","6' 4""",230,True,"L",3,"D","2021-10-07 15:30:43.982172-07","2021-10-07 15:30:43.982172-07"
8475797,"Jarred","Tinordi","5","1992-02-19 16:00:00-08","Millersville","MD","USA","USA","6' 6""",232,True,"L",3,"D","2021-10-07 15:30:44.429273-07","2021-10-07 15:30:44.429273-07"
8476458,"Ryan","Strome","16","1993-07-10 17:00:00-07","Mississauga","ON","CAN","CAN","6' 1""",191,True,"R",3,"C","2021-10-07 15:30:44.789917-07","2021-10-07 15:30:44.789917-07"
8476459,"Mika","Zibanejad","93","1993-04-17 17:00:00-07","Stockholm",NULL,"SWE","SWE","6' 2""",200,True,"R",3,"C","2021-10-07 15:30:45.165467-07","2021-10-07 15:30:45.165467-07"
8476624,"Barclay","Goodrow","21","1993-02-25 16:00:00-08","Toronto","ON","CAN","CAN","6' 2""",204,True,"L",3,"C","2021-10-07 15:30:45.493107-07","2021-10-07 15:30:45.493107-07"
8476885,"Jacob","Trouba","8","1994-02-25 16:00:00-08","Rochester","MI","USA","USA","6' 3""",208,True,"R",3,"D","2021-10-07 15:30:45.872732-07","2021-10-07 15:30:45.872732-07"
8478104,"Sammy","Blais","91","1996-06-16 17:00:00-07","Montmagny","QC","CAN","CAN","6' 2""",210,True,"L",3,"L","2021-10-07 15:30:46.291635-07","2021-10-07 15:30:46.291635-07"
8478211,"Dryden","Hunt","29","1995-11-23 16:00:00-08","Cranbrook","BC","CAN","CAN","6' 0""",192,True,"L",3,"L","2021-10-07 15:30:46.579826-07","2021-10-07 15:30:46.579826-07"
8478550,"Artemi","Panarin","10","1991-10-29 16:00:00-08","Korkino",NULL,"RUS","RUS","6' 0""",175,True,"R",3,"L","2021-10-07 15:30:46.860877-07","2021-10-07 15:30:46.860877-07"
8479291,"Kevin","Rooney","17","1993-05-20 17:00:00-07","Canton","MA","USA","USA","6' 2""",201,True,"L",3,"C","2021-10-07 15:30:47.144811-07","2021-10-07 15:30:47.144811-07"
8479323,"Adam","Fox","23","1998-02-16 16:00:00-08","Jericho","NY","USA","USA","5' 11""",183,True,"R",3,"D","2021-10-07 15:30:47.571149-07","2021-10-07 15:30:47.571149-07"
8479324,"Ryan","Lindgren","55","1998-02-10 16:00:00-08","Burnsville","MN","USA","USA","6' 1""",191,True,"L",3,"D","2021-10-07 15:30:47.923713-07","2021-10-07 15:30:47.923713-07"
8479328,"Julien","Gauthier","15","1997-10-14 17:00:00-07","Pointe-aux-Trembles","QC","CAN","CAN","6' 4""",227,True,"R",3,"R","2021-10-07 15:30:48.323893-07","2021-10-07 15:30:48.323893-07"
8479333,"Libor","Hajek","25","1998-02-03 16:00:00-08","Smrcek",NULL,"CZE","CZE","6' 3""",206,True,"L",3,"D","2021-10-07 15:30:48.89136-07","2021-10-07 15:30:48.89136-07"
8480078,"Filip","Chytil","72","1999-09-04 17:00:00-07","Kromeriz",NULL,"CZE","CZE","6' 3""",210,True,"L",3,"C","2021-10-07 15:30:49.205523-07","2021-10-07 15:30:49.205523-07"
8480289,"Morgan","Barron","47","1998-12-01 16:00:00-08","Halifax","NS","CAN","CAN","6' 4""",220,True,"L",3,"C","2021-10-07 15:30:49.841917-07","2021-10-07 15:30:49.841917-07"
8480817,"K'Andre","Miller","79","2000-01-20 16:00:00-08","St. Paul","MN","USA","USA","6' 4""",216,True,"L",3,"D","2021-10-07 15:30:50.268511-07","2021-10-07 15:30:50.268511-07"
8480833,"Vitali","Kravtsov","74","1999-12-22 16:00:00-08","Vladivostok",NULL,"RUS","RUS","6' 3""",193,True,"L",3,"R","2021-10-07 15:30:50.913547-07","2021-10-07 15:30:50.913547-07"
8480878,"Nils","Lundkvist","64","2000-07-26 17:00:00-07","Pitea",NULL,"SWE","SWE","5' 11""",187,True,"R",3,"D","2021-10-07 15:30:51.633975-07","2021-10-07 15:30:51.633975-07"
8481554,"Kaapo","Kakko","24","2001-02-12 16:00:00-08","Turku",NULL,"FIN","FIN","6' 3""",205,True,"L",3,"R","2021-10-07 15:30:52.255787-07","2021-10-07 15:30:52.255787-07"
8482109,"Alexis","Lafrenière","13","2001-10-10 17:00:00-07","St-Eustache","QC","CAN","CAN","6' 2""",196,True,"L",3,"L","2021-10-07 15:30:52.602606-07","2021-10-07 15:30:52.602606-07"
8470775,"Nate","Thompson","11","1984-10-04 17:00:00-07","Anchorage","AK","USA","USA","6' 1""",205,True,"L",4,"C","2021-10-07 15:30:52.879223-07","2021-10-07 15:30:52.879223-07"
8471735,"Keith","Yandle","3","1986-09-08 17:00:00-07","Boston","MA","USA","USA","6' 1""",192,True,"L",4,"D","2021-10-07 15:30:53.25819-07","2021-10-07 15:30:53.25819-07"
8473512,"Claude","Giroux","28","1988-01-11 16:00:00-08","Hearst","ON","CAN","CAN","5' 11""",185,True,"R",4,"C","2021-10-07 15:30:53.582706-07","2021-10-07 15:30:53.582706-07"
8473544,"Derick","Brassard","16","1987-09-21 17:00:00-07","Hull","QC","CAN","CAN","6' 1""",202,True,"L",4,"C","2021-10-07 15:30:53.896471-07","2021-10-07 15:30:53.896471-07"
8474027,"Justin","Braun","61","1987-02-09 16:00:00-08","Minneapolis","MN","USA","USA","6' 2""",205,True,"R",4,"D","2021-10-07 15:30:54.227748-07","2021-10-07 15:30:54.227748-07"
8474037,"James","van Riemsdyk","25","1989-05-03 17:00:00-07","Middletown","NJ","USA","USA","6' 3""",217,True,"L",4,"L","2021-10-07 15:30:54.520588-07","2021-10-07 15:30:54.520588-07"
8474715,"Cam","Atkinson","13","1989-06-04 17:00:00-07","Riverside","CT","USA","USA","5' 8""",176,True,"R",4,"R","2021-10-07 15:30:54.821811-07","2021-10-07 15:30:54.821811-07"
8475176,"Ryan","Ellis","4","1991-01-02 16:00:00-08","Hamilton","ON","CAN","CAN","5' 10""",180,True,"R",4,"D","2021-10-07 15:30:55.202289-07","2021-10-07 15:30:55.202289-07"
8475763,"Kevin","Hayes","13","1992-05-07 17:00:00-07","Dorchester","MA","USA","USA","6' 5""",216,True,"L",4,"C","2021-10-07 15:30:55.532589-07","2021-10-07 15:30:55.532589-07"
8476372,"Nick","Seeler","55","1993-06-02 17:00:00-07","Eden Prairie","MN","USA","USA","6' 2""",201,True,"L",4,"D","2021-10-07 15:30:55.837992-07","2021-10-07 15:30:55.837992-07"
8476461,"Sean","Couturier","14","1992-12-06 16:00:00-08","Phoenix","AZ","USA","CAN","6' 3""",211,True,"L",4,"C","2021-10-07 15:30:56.117733-07","2021-10-07 15:30:56.117733-07"
8476872,"Scott","Laughton","21","1994-05-29 17:00:00-07","Oakville","ON","CAN","CAN","6' 1""",190,True,"L",4,"C","2021-10-07 15:30:56.455958-07","2021-10-07 15:30:56.455958-07"
8477352,"Ryan","Fitzgerald","38","1994-10-18 17:00:00-07","Boca Raton","FL","USA","USA","5' 9""",172,True,"R",4,"C","2021-10-07 15:30:56.850395-07","2021-10-07 15:30:56.850395-07"
8477499,"Rasmus","Ristolainen","55","1994-10-26 17:00:00-07","Turku",NULL,"FIN","FIN","6' 4""",221,True,"R",4,"D","2021-10-07 15:30:57.183053-07","2021-10-07 15:30:57.183053-07"
8477502,"Samuel","Morin","55","1995-07-11 17:00:00-07","Lac-Beauport","QC","CAN","CAN","6' 6""",202,True,"L",4,"L","2021-10-07 15:30:57.500318-07","2021-10-07 15:30:57.500318-07"
8477948,"Travis","Sanheim","6","1996-03-28 16:00:00-08","Elkhorn","MB","CAN","CAN","6' 3""",181,True,"L",4,"D","2021-10-07 15:30:57.777097-07","2021-10-07 15:30:57.777097-07"
8477979,"Nicolas","Aube-Kubel","62","1996-05-09 17:00:00-07","Slave Lake","AB","CAN","CAN","5' 11""",187,True,"R",4,"R","2021-10-07 15:30:58.167124-07","2021-10-07 15:30:58.167124-07"
8478067,"Oskar","Lindblom","23","1996-08-14 17:00:00-07","Gävle",NULL,"SWE","SWE","6' 1""",191,True,"L",4,"L","2021-10-07 15:30:58.466923-07","2021-10-07 15:30:58.466923-07"
8478439,"Travis","Konecny","11","1997-03-10 16:00:00-08","London","ON","CAN","CAN","5' 10""",175,True,"R",4,"R","2021-10-07 15:30:59.013222-07","2021-10-07 15:30:59.013222-07"
8478500,"Ivan","Provorov","9","1997-01-12 16:00:00-08","Yaroslavl",NULL,"RUS","RUS","6' 1""",201,True,"L",4,"D","2021-10-07 15:30:59.411487-07","2021-10-07 15:30:59.411487-07"
8479322,"Wade","Allison","57","1997-10-13 17:00:00-07","Carman","MB","CAN","CAN","6' 2""",205,True,"R",4,"R","2021-10-07 15:30:59.807536-07","2021-10-07 15:30:59.807536-07"
8479550,"Tanner","Laczynski","58","1997-05-31 17:00:00-07","Minooka","IL","USA","USA","6' 1""",190,True,"R",4,"C","2021-10-07 15:31:00.729683-07","2021-10-07 15:31:00.729683-07"
8480797,"Joel","Farabee","86","2000-02-24 16:00:00-08","Syracuse","NY","USA","USA","6' 0""",164,True,"L",4,"L","2021-10-07 15:31:01.143993-07","2021-10-07 15:31:01.143993-07"
8481178,"Egor","Zamula","54","2000-03-29 16:00:00-08","Chelyabinsk",NULL,"RUS","RUS","6' 3""",177,True,"L",4,"D","2021-10-07 15:31:01.559823-07","2021-10-07 15:31:01.559823-07"
8481428,"Cooper","Zech",NULL,"1998-12-17 16:00:00-08","South Lyon","MI","USA","USA","5' 9""",161,True,"L",4,"D","2021-10-07 15:31:01.950831-07","2021-10-07 15:31:01.950831-07"
8481546,"Cam","York","45","2001-01-04 16:00:00-08","Anaheim","CA","USA","USA","5' 11""",175,True,"L",4,"D","2021-10-07 15:31:02.358492-07","2021-10-07 15:31:02.358492-07"
8482161,"Zayde","Wisdom",NULL,"2002-07-06 17:00:00-07","Toronto","ON","CAN","CAN","5' 11""",195,True,"R",4,"R","2021-10-07 15:31:02.722601-07","2021-10-07 15:31:02.722601-07"
8482654,"Jackson","Cates","59","1997-09-25 17:00:00-07","Stillwater","MN","USA","USA","6' 0""",190,True,"L",4,"C","2021-10-07 15:31:03.080277-07","2021-10-07 15:31:03.080277-07"
8470604,"Jeff","Carter","77","1984-12-31 16:00:00-08","London","ON","CAN","CAN","6' 3""",219,True,"R",5,"C","2021-10-07 15:31:03.512918-07","2021-10-07 15:31:03.512918-07"
8471215,"Evgeni","Malkin","71","1986-07-30 17:00:00-07","Magnitogorsk",NULL,"RUS","RUS","6' 3""",195,True,"L",5,"C","2021-10-07 15:31:03.890429-07","2021-10-07 15:31:03.890429-07"
8471675,"Sidney","Crosby","87","1987-08-06 17:00:00-07","Cole Harbour","NS","CAN","CAN","5' 11""",200,True,"L",5,"C","2021-10-07 15:31:04.375215-07","2021-10-07 15:31:04.375215-07"
8471724,"Kris","Letang","58","1987-04-23 17:00:00-07","Montréal","QC","CAN","CAN","6' 0""",201,True,"R",5,"D","2021-10-07 15:31:04.710422-07","2021-10-07 15:31:04.710422-07"
8475208,"Brian","Dumoulin","8","1991-09-05 17:00:00-07","Biddeford","ME","USA","USA","6' 4""",207,True,"L",5,"D","2021-10-07 15:31:05.029352-07","2021-10-07 15:31:05.029352-07"
8475722,"Jason","Zucker","16","1992-01-15 16:00:00-08","Newport Beach","CA","USA","USA","5' 11""",192,True,"L",5,"L","2021-10-07 15:31:05.335074-07","2021-10-07 15:31:05.335074-07"
8475808,"Michael","Chaput","26","1992-04-08 17:00:00-07","Ile Bizard","QC","CAN","CAN","6' 2""",199,True,"L",5,"C","2021-10-07 15:31:05.655705-07","2021-10-07 15:31:05.655705-07"
8475810,"Bryan","Rust","17","1992-05-10 17:00:00-07","Pontiac","MI","USA","USA","5' 11""",192,True,"R",5,"R","2021-10-07 15:31:05.98166-07","2021-10-07 15:31:05.98166-07"
8476166,"Taylor","Fedun","4","1988-06-03 17:00:00-07","Edmonton","AB","CAN","CAN","6' 1""",200,True,"R",5,"D","2021-10-07 15:31:06.450105-07","2021-10-07 15:31:06.450105-07"
8476875,"Mike","Matheson","5","1994-02-26 16:00:00-08","Pointe-Claire","QC","CAN","CAN","6' 2""",188,True,"L",5,"D","2021-10-07 15:31:06.806115-07","2021-10-07 15:31:06.806115-07"
8476927,"Teddy","Blueger","53","1994-08-14 17:00:00-07","Riga",NULL,"LVA","LVA","6' 0""",185,True,"L",5,"C","2021-10-07 15:31:07.244519-07","2021-10-07 15:31:07.244519-07"
8476934,"Brock","McGinn","23","1994-02-01 16:00:00-08","Fergus","ON","CAN","CAN","6' 0""",187,True,"L",5,"L","2021-10-07 15:31:07.858974-07","2021-10-07 15:31:07.858974-07"
8477244,"Chad","Ruhwedel","2","1990-05-06 17:00:00-07","San Diego","CA","USA","USA","5' 11""",191,True,"R",5,"D","2021-10-07 15:31:08.179261-07","2021-10-07 15:31:08.179261-07"
8477404,"Jake","Guentzel","59","1994-10-05 17:00:00-07","Omaha","NE","USA","USA","5' 11""",180,True,"L",5,"L","2021-10-07 15:31:08.497798-07","2021-10-07 15:31:08.497798-07"
8477953,"Kasperi","Kapanen","42","1996-07-22 17:00:00-07","Kuopio",NULL,"FIN","FIN","6' 1""",194,True,"R",5,"R","2021-10-07 15:31:08.917491-07","2021-10-07 15:31:08.917491-07"
8477969,"Marcus","Pettersson","28","1996-05-07 17:00:00-07","Skellefteå",NULL,"SWE","SWE","6' 3""",177,True,"L",5,"D","2021-10-07 15:31:09.265602-07","2021-10-07 15:31:09.265602-07"
8478017,"Mark","Friedman","52","1995-12-24 16:00:00-08","Toronto","ON","CAN","CAN","5' 11""",185,True,"R",5,"D","2021-10-07 15:31:09.669741-07","2021-10-07 15:31:09.669741-07"
8478043,"Sam","Lafferty","18","1995-03-05 16:00:00-08","Hollidaysburg","PA","USA","USA","6' 1""",195,True,"R",5,"R","2021-10-07 15:31:10.022646-07","2021-10-07 15:31:10.022646-07"
8478046,"Danton","Heinen","43","1995-07-04 17:00:00-07","Langley","BC","CAN","CAN","6' 1""",188,True,"L",5,"L","2021-10-07 15:31:10.316758-07","2021-10-07 15:31:10.316758-07"
8478074,"Anthony","Angello","57","1996-03-05 16:00:00-08","Albany","NY","USA","USA","6' 5""",210,True,"R",5,"R","2021-10-07 15:31:10.709016-07","2021-10-07 15:31:10.709016-07"
8478507,"John","Marino","6","1997-05-20 17:00:00-07","North Easton","MA","USA","USA","6' 1""",181,True,"R",5,"D","2021-10-07 15:31:11.071762-07","2021-10-07 15:31:11.071762-07"
8478542,"Evan","Rodrigues","9","1993-07-27 17:00:00-07","Toronto","ON","CAN","CAN","5' 11""",184,True,"R",5,"C","2021-10-07 15:31:11.351467-07","2021-10-07 15:31:11.351467-07"
8478866,"Dominik","Simon","49","1994-08-07 17:00:00-07","Prague",NULL,"CZE","CZE","5' 11""",190,True,"L",5,"C","2021-10-07 15:31:11.646541-07","2021-10-07 15:31:11.646541-07"
8479512,"Kasper","Bjorkqvist","20","1997-07-09 17:00:00-07","Espoo",NULL,"FIN","FIN","6' 1""",198,True,"L",5,"R","2021-10-07 15:31:12.413081-07","2021-10-07 15:31:12.413081-07"
8479539,"Niclas","Almari","79","1998-05-10 17:00:00-07","Espoo",NULL,"FIN","FIN","6' 1""",180,True,"L",5,"D","2021-10-07 15:31:12.783178-07","2021-10-07 15:31:12.783178-07"
8479944,"Zach","Aston-Reese","12","1994-08-09 17:00:00-07","Staten Island","NY","USA","USA","6' 0""",204,True,"L",5,"L","2021-10-07 15:31:13.088736-07","2021-10-07 15:31:13.088736-07"
8480058,"Pierre-Olivier","Joseph","73","1999-06-30 17:00:00-07","Laval","QC","CAN","CAN","6' 2""",185,True,"L",5,"D","2021-10-07 15:31:13.477875-07","2021-10-07 15:31:13.477875-07"
8480836,"Jonathan","Gruden","45","2000-05-03 17:00:00-07","Rochester Hills","MI","USA","USA","6' 0""",172,True,"L",5,"C","2021-10-07 15:31:13.818594-07","2021-10-07 15:31:13.818594-07"
8480842,"Filip","Hallander","36","2000-06-28 17:00:00-07","Sundsvall",NULL,"SWE","SWE","6' 1""",190,True,"L",5,"C","2021-10-07 15:31:14.142997-07","2021-10-07 15:31:14.142997-07"
8480945,"Juuso","Riikola","50","1993-11-08 16:00:00-08","Joensuu",NULL,"FIN","FIN","6' 0""",189,True,"L",5,"D","2021-10-07 15:31:14.557981-07","2021-10-07 15:31:14.557981-07"
